,model,batch_size,learning_rate,epoch,neurons,mse_all,mse1,mse2,mse3,mse4,mse5,mse6,mse7,mse8,mse9,mse10,mse11,mse12,mse13,mse14,mse15,mse16,mse17,mse18,mse19,mse20,mse21,mse22,mse23,mse24
0,0.0,200.0,0.01,25.0,128.0,0.2508980378626577,0.054251329126709394,0.06162501334044102,0.08076782574763505,0.08470137870065314,0.034105478088303734,0.017424132870644475,0.018806000800104923,0.16501162948394585,0.1739960674307993,0.2010760724556905,0.15334701754979807,0.1595076179593406,0.14512309769964218,0.16570824057259811,0.1298645503893098,0.13421702981864203,0.14112407505405558,0.13908400893657707,0.05542278303847151,0.02576183145184979,0.03135078098263925,0.037018029522769356,0.052821804886074755,0.04857335608770861
1,1.0,200.0,0.01,25.0,64.0,0.12344173670287635,0.006295179438204228,0.01468863508082123,0.025835528389930012,0.01309701481585575,0.013315823657529645,0.0031318329723288925,0.004716088168208049,0.05372826412265679,0.07088833924629424,0.07231243283898478,0.04739797585837791,0.06397379383954196,0.0702126407624188,0.04829057351389109,0.03595391875185178,0.035242543849358564,0.028385847092395264,0.050457245206057266,0.013880804116938966,0.007826229644184574,0.010213843353190364,0.006109814821081954,0.008790203788964989,0.006771600757857884
2,2.0,200.0,0.01,25.0,32.0,0.151969655075851,0.011041240160151386,0.04863245014793601,0.0161135541066554,0.028856792766494912,0.011169465621684244,0.0052154842693406455,0.005134222170405085,0.07654671211013463,0.07700276678233858,0.0834336016510978,0.062124204640884494,0.08008972342596066,0.07655403615557071,0.08212490033490874,0.05374794211628253,0.05228040401062903,0.052994743926454285,0.07136391009604531,0.02240674340140719,0.011369118913217747,0.009011886248837506,0.007203948653747147,0.018325081020710798,0.017691581408917845
3,3.0,300.0,0.01,25.0,128.0,0.26958458491503273,0.062395384700951316,0.06909067115761504,0.08971464049502086,0.09471665646275214,0.03896617237115306,0.02108315212462978,0.02347781461339428,0.18306302225136517,0.18897321360371366,0.21606085810334108,0.1672921811140817,0.17247763273966124,0.16295674422376064,0.18582398633529626,0.14339531622109558,0.14909607981807677,0.1556303307034378,0.15212895262736756,0.06305894031145706,0.029834054488878634,0.035635443339635545,0.04355665238512071,0.05981899671811181,0.057374803870041624
4,4.0,300.0,0.01,25.0,64.0,0.15526696492738842,0.01962722576690701,0.021868884748524896,0.031360139962528795,0.04124621073479773,0.00972789236844348,0.0037439816712522087,0.006893930592972037,0.0972126005098076,0.10707135537307322,0.09068126136775667,0.09062016790802564,0.07454552901802947,0.07767938839856849,0.06417608380790744,0.057219618725606075,0.0634528448955756,0.05230033442395758,0.033721342804572126,0.01242157338267833,0.010820608811287501,0.006782526184376709,0.008487137784917182,0.012013690355454283,0.011780745219520647
5,5.0,300.0,0.01,25.0,32.0,0.17164206053065043,0.014964134687738804,0.00887974068834863,0.04591393845818178,0.04034730508389502,0.008253421235111701,0.005256155165950229,0.004784357240164043,0.10939481009557761,0.11101115204780079,0.11267940408719045,0.10918971355350493,0.0902461420111915,0.07918412902880302,0.0990436434104707,0.07202469602595547,0.06841489045598725,0.059743671949865074,0.0755095733789981,0.03285947121372285,0.009551274464642302,0.01485713793827803,0.010003239291787943,0.013427780420697963,0.009401215801709707
6,6.0,200.0,0.001,25.0,128.0,0.13644536972538324,0.013619937381383604,0.02777191775944904,0.046168581924386415,0.0294225856702438,0.00955841882325754,0.005839410629175447,0.009252247505278928,0.07889539044879613,0.09416070828177323,0.06096862583949878,0.058013879792754394,0.05770224156202861,0.028260240076779162,0.06647801299021217,0.041699647628912005,0.037361644595095805,0.03904340499714118,0.029598962238466826,0.011822104675943208,0.008783126260662515,0.010807772226732171,0.018252833290223473,0.009628347622878718,0.017458321408855365
7,7.0,200.0,0.001,25.0,64.0,0.19853804011514833,0.010022044264193371,0.04661952723775666,0.023029600982145813,0.04093529800563097,0.02530335749100124,0.0046055631603095625,0.018853382405252972,0.05804485956365192,0.10695096562527537,0.1933830357923039,0.1102132947325967,0.10233328067870687,0.06735186307181541,0.10774589403451142,0.10959284867976937,0.10238636540198938,0.085416754607611,0.12842145297934474,0.025745259752741126,0.018441027453461007,0.04148502207847555,0.015089851906359307,0.012249001422946255,0.048906378776996697
8,8.0,200.0,0.001,25.0,32.0,0.18513070103347484,0.03919236230598751,0.01630767841583937,0.026458042277018576,0.02009452913372891,0.01371928047833404,0.004008635050701937,0.02326795674167932,0.1434394718431205,0.11389294889129152,0.15786155249501183,0.08160343709214633,0.12185675174541699,0.07307253136970447,0.09852148193612525,0.08765629056193648,0.06402895644806808,0.08666807435810861,0.06990458968973864,0.013505127209498657,0.039117597789009986,0.009113144107561196,0.0249656372097976,0.028041986658785427,0.015108348828425988
9,9.0,300.0,0.001,25.0,128.0,0.14121426179127702,0.008855444611568498,0.014086757546926726,0.01049685079843499,0.027406560517733162,0.004963444690929614,0.006149044360167726,0.00814299299415534,0.09434021551579774,0.07557287472749472,0.09639770697159064,0.05655281999760506,0.06404701677489705,0.04472449247873313,0.08736515212521394,0.03936660693058517,0.04838664214193354,0.06729638611155689,0.04727131879208211,0.010945365140083999,0.010401606287248025,0.009448876385086584,0.008199300848589986,0.010678217369334907,0.011222370996789898
10,10.0,300.0,0.001,25.0,64.0,0.15025559667398294,0.014594819418204587,0.03062519546733656,0.016079934054441164,0.035649366930649594,0.017557585103955577,0.008155995468546222,0.011989881200838997,0.09377385195409325,0.06606847218431966,0.07911717730268585,0.08358857139307352,0.09717002030492666,0.04116271293622585,0.040723342357669876,0.058550881075869685,0.0586828511968984,0.06347056603312388,0.056763821968219,0.01130102939473771,0.011154217328102838,0.013632206260677123,0.007768759696600552,0.01652497631903541,0.009239076127128574
11,11.0,300.0,0.001,25.0,32.0,0.2592812621688742,0.023258915919873488,0.0713395418219544,0.09950068741672055,0.06694238393093446,0.031401201177145836,0.011969314924107303,0.007210125074296504,0.200325331998907,0.18581037468967393,0.14135576815395207,0.15072600578874332,0.16583727924652394,0.159430636464274,0.15149082740631734,0.1434852548889257,0.13633354561072614,0.15684968220432574,0.1798359343466683,0.01455685911237608,0.043401696355505746,0.057332308985277906,0.019599405496649604,0.052495092294547824,0.09545060228591003
12,12.0,200.0,0.0001,25.0,128.0,0.23429863815759577,0.04328686170448166,0.039416898819768655,0.09549836945692976,0.06415812841535067,0.007949474432117909,0.009157930491382952,0.006209682476034344,0.16663406534473107,0.12174875464024747,0.17315744592784896,0.15613376280185953,0.18799356670445302,0.29102609885329916,0.1087633881134235,0.048390321461657115,0.1479413757795154,0.0740554098071495,0.12627629538260293,0.07448267271017603,0.021224770686819553,0.03594614174616596,0.02535751102678928,0.035309885084980626,0.0631545673927211
13,13.0,200.0,0.0001,25.0,64.0,0.2426770382787092,0.04301507687884782,0.03904745160634585,0.09974256025205253,0.10414138009986502,0.0583553243424954,0.011644492433873083,0.021413837191551637,0.14522393788068885,0.272939671118319,0.18139435660337266,0.10440250526276136,0.12590569397644283,0.10244414517436995,0.15680015878126846,0.09009359247935983,0.10412081844489877,0.11438821523054477,0.14728545229598214,0.044289094779857194,0.02499763491181767,0.015589063635290935,0.012049446071423463,0.12514431011897853,0.048666069291836804
14,14.0,200.0,0.0001,25.0,32.0,0.31192268201057866,0.015396793319938762,0.20018457203770046,0.06339018111937077,0.01903670606665761,0.010248375178330684,0.07268479809671556,0.01813247834085905,0.11554447074977148,0.16047299778719099,0.209790737315284,0.3074502830006786,0.4250448534673319,0.1059097212917177,0.028454104862136138,0.2283038957871745,0.4233173647927944,0.09268328125422755,0.1894468960988637,0.15430800883591375,0.10622582411694062,0.2614914600938142,0.2209443097698051,0.0287905932822529,0.08103923470358448
15,15.0,300.0,0.0001,25.0,128.0,0.221042178244067,0.0107060138425699,0.01879118971991075,0.025653919694415855,0.03261973069080631,0.008147177452347453,0.010409196390027731,0.011043989052149502,0.11584377561531446,0.09114688795314346,0.13822276942586462,0.11744135289403951,0.17449051789058956,0.19713558588231134,0.07101424199154589,0.09476833714817107,0.1893285588665581,0.1799545219658286,0.1439441665156701,0.023030139169730603,0.03432982296067441,0.027507142319351672,0.03096303564330375,0.07243818999767394,0.08638334921804855
16,16.0,300.0,0.0001,25.0,64.0,0.268422425126698,0.10729302740665489,0.07036081540584724,0.05446222661369525,0.20854271206658354,0.025769754320405455,0.03005661090245211,0.03008324389416166,0.17779187113177136,0.16602496435800576,0.2721925507296037,0.09772103586012612,0.2516595404223413,0.13154770035351185,0.07919772733159702,0.10650239487973522,0.10833397265291801,0.16847637826919443,0.07011903614687434,0.08712866335545531,0.01809191457629698,0.04259853965300439,0.11587232126443872,0.02357371098440554,0.06573497944377883
17,17.0,300.0,0.0001,25.0,32.0,0.2975703350533806,0.09643886276299886,0.2031422152076399,0.16554583266724696,0.12693172161190022,0.07988637675182186,0.062389172125326825,0.014945048754759823,0.27238526956252807,0.11952758559421241,0.35128785351272274,0.2909969930892488,0.14831037310754783,0.17135892961389762,0.11605791382144978,0.322346884534127,0.021785158228040072,0.13180691204350592,0.19207374744742262,0.06349732691584926,0.018137856264815268,0.045242660660591245,0.017646127616668107,0.0743860146533564,0.0681071894277559
